price,address,description,bedrooms,property_type,borough
24000000,"The Astor, Millbank, Westminster, London, SW1P, United Kingdom","The Astor, Millbank, Westminster, London, SW1P, United KingdomPenthouse58",,flat,Westminster
23709660,Mayfair Park Residence,Mayfair Park ResidenceApartment44,,flat,
23500000,"Holland Park Gate, 261 Kensington High Street, London, W8 6NA","Holland Park Gate, 261 Kensington High Street, London, W8 6NAApartment44",,flat,Kensington
23000000,"Lancaster Gate, Kensington","Lancaster Gate, KensingtonSemi-Detached66",,,Kensington
22950000,"Pembroke Gardens, Kensington,  W8","Pembroke Gardens, Kensington,  W8Detached87",,,Kensington
22950000,"Pembroke Gardens,London,W8","Pembroke Gardens,London,W8Detached76",,,
22500000,"William Street, Knightsbridge, London, SW1X, United Kingdom","William Street, Knightsbridge, London, SW1X, United KingdomFlat54",,flat,
22500000,"1 William Street, Knightsbridge, London, SW1X","1 William Street, Knightsbridge, London, SW1XPenthouse55",,flat,
22000000,"Ilchester Place, London, W14","Ilchester Place, London, W14Terraced75",,,
21950000,"Phillimore Gardens, London, W8","Phillimore Gardens, London, W8Semi-Detached54",,,
21950000,"Phillimore Gardens, Kensington, London, W8, United Kingdom","Phillimore Gardens, Kensington, London, W8, United KingdomHouse54",,house,Kensington
21500000,"Holland Park Road, LONDON, W14","Holland Park Road, LONDON, W14Detached65",,,
21500000,"Herbert Crescent, Knightsbridge, London, SW1X, United Kingdom","Herbert Crescent, Knightsbridge, London, SW1X, United KingdomHouse58",,house,
21000000,"Mansion House, Cowley Street, Westminster, London, SW1P, United Kingdom","Mansion House, Cowley Street, Westminster, London, SW1P, United KingdomHouse77",,house,Westminster
20995000,"Lowndes Square, London, SW1X","Lowndes Square, London, SW1XPenthouse84",,flat,
20000000,"Chelsea Square, London, SW3","Chelsea Square, London, SW3Terraced68",,,
775000,"Friary Road, North Finchley, N12","Friary Road, North Finchley, N12Terraced31",,,
20000000,"Mount Street, Mayfair, London, W1K","Mount Street, Mayfair, London, W1KFlat43",,flat,
20000000,"The Bishops Avenue, Hampstead, N2","The Bishops Avenue, Hampstead, N2House76",,house,
20000000,"Pont Street, Knightsbridge","Pont Street, KnightsbridgeFlat57",,flat,
20000000,"The Bishops Avenue, London","The Bishops Avenue, LondonDetached86",,,
20000000,"Esca House, 34 Palace Court, Notting Hill","Esca House, 34 Palace Court, Notting HillLand",,house,
20000000,"Avenue Road, St John's Wood, NW8","Avenue Road, St John's Wood, NW8House66",,house,
20000000,"Compton Avenue, N6","Compton Avenue, N6Land",,,
20000000,"Hertford Street, Mayfair, London., W1J","Hertford Street, Mayfair, London., W1JTerraced1010",,,
20000000,"Mount Street, Mayfair, London, W1K, United Kingdom","Mount Street, Mayfair, London, W1K, United KingdomFlat44",,flat,
20000000,"Hamilton Terrace, St John's Wood, London, NW8, United Kingdom","Hamilton Terrace, St John's Wood, London, NW8, United KingdomHouse67",,house,
19950000,"Residence 2.01, The OWO Residences, Whitehall, London, SW1A 2EU","Residence 2.01, The OWO Residences, Whitehall, London, SW1A 2EUApartment33",,flat,
19950000,"Chelsea Square, London, SW3","Chelsea Square, London, SW3Terraced66",,,
19950000,"Chelsea Square, Chelsea, London, SW3","Chelsea Square, Chelsea, London, SW3Terraced55",,,
19950000,Holland VIllas W14,Holland VIllas W14Villa77,,,
19950000,"Wadham Gardens, London, NW3","Wadham Gardens, London, NW3Detached64",,,
19950000,"Wadham Gardens, St Johns Wood, London, NW3, United Kingdom","Wadham Gardens, St Johns Wood, London, NW3, United KingdomHouse54",,house,
