price,address,description,bedrooms,property_type,borough
13496000,Dorchester Collection Mayfair Residences,Dorchester Collection Mayfair ResidencesHouse22,,house,
13395000,"Aybrook Street, Marylebone, W1U","Aybrook Street, Marylebone, W1UPenthouse33",,flat,
13250000,"Strand, Covent Garden, WC2R","Strand, Covent Garden, WC2RPenthouse44",,flat,
13200000,"Trevor Place, London, SW7","Trevor Place, London, SW7Terraced66",,,
12975000,"Sheldon Avenue, London, N6","Sheldon Avenue, London, N6Detached88",,,
12975000,"Sheldon Avenue, London, N6","Sheldon Avenue, London, N6Detached97",,,
12950000,"Eyre Road, London, St John's Wood, NW8","Eyre Road, London, St John's Wood, NW8Terraced45",,,
12950000,"Hamilton Drive, St John's Wood, London, NW8, United Kingdom","Hamilton Drive, St John's Wood, London, NW8, United KingdomHouse45",,house,
12950000,"De Vere Gardens, One Kensington Gardens, Kensington, London, W8","De Vere Gardens, One Kensington Gardens, Kensington, London, W8Apartment44",,flat,Kensington
12950000,"Rosslyn Hill, London, NW3","Rosslyn Hill, London, NW3Semi-Detached78",,,
12950000,"Hyde Park Gardens, London, W2","Hyde Park Gardens, London, W2Penthouse45",,flat,
12950000,"The Lane, St John's Wood, London, NW8, United Kingdom","The Lane, St John's Wood, London, NW8, United KingdomHouse66",,house,
12950000,"The Lane, London, NW8","The Lane, London, NW8Semi-Detached65",,,
12950000,"Carrington Street, London, W1J","Carrington Street, London, W1JApartment44",,flat,
12950000,"Victoria Road, Kensington, London","Victoria Road, Kensington, LondonTerraced65",,,Kensington
12950000,"Hampstead Lane, Hampstead, NW3","Hampstead Lane, Hampstead, NW3House66",,house,
12950000,"Hampstead Lane, Hampstead, NW3","Hampstead Lane, Hampstead, NW3House67",,house,
12944400,The Residences at Mandarin Oriental Mayfair,The Residences at Mandarin Oriental MayfairApartment33,,flat,
12750000,"Park Modern, 123 Bayswater Road, Hyde Park, London W2 3JH","Park Modern, 123 Bayswater Road, Hyde Park, London W2 3JHApartment33",,flat,
12750000,"Queen's Gate Terrace, South Kensington SW7","Queen's Gate Terrace, South Kensington SW7Apartment44",,flat,Kensington
12750000,"Bayswater Road, London, W2","Bayswater Road, London, W2Apartment32",,flat,
1050000,"Thurloe Place, Knightsbridge SW7","Thurloe Place, Knightsbridge SW7Flat22",,flat,
12742230,"Dorchester Collection, Mayfair","Dorchester Collection, MayfairApartment33",,flat,
12650000,"The OWO Residences By Raffles, Whitehall, London, SW1A","The OWO Residences By Raffles, Whitehall, London, SW1APenthouse33",,flat,
12500000,"Stanhope Gate, Mayfair, London, W1K","Stanhope Gate, Mayfair, London, W1KApartment12",,flat,
12500000,"Friern Barnet Road, London, N11","Friern Barnet Road, London, N11Block of Apartments",,flat,Barnet
12500000,"Chesterfield Street, Mayfair, London, W1J, United Kingdom","Chesterfield Street, Mayfair, London, W1J, United KingdomHouse44",,house,
12500000,"60 Curzon, Mayfair, London, W1J 8PG","60 Curzon, Mayfair, London, W1J 8PGApartment23",,flat,
12500000,"Chelsea Waterfront, Chelsea, London, SW10","Chelsea Waterfront, Chelsea, London, SW10Flat98",,flat,
12500000,"Hay Hill, London, W1J","Hay Hill, London, W1JFlat55",,flat,
12450000,"Wilton Place, Belgravia SW1X","Wilton Place, Belgravia SW1XHouse66",,house,
12250000,"Eaton Square, Belgravia, London, SW1W, United Kingdom","Eaton Square, Belgravia, London, SW1W, United KingdomFlat33",,flat,
12250000,"Melbury Road, Holland Park, London, W14","Melbury Road, Holland Park, London, W14Terraced65",,,
12250000,"The Bishops Avenue, Hampstead Heath, London, N2, United Kingdom","The Bishops Avenue, Hampstead Heath, London, N2, United KingdomHouse89",,house,
12250000,"The Bishops Avenue, East Finchley, N2","The Bishops Avenue, East Finchley, N2Detached88",,,
12250000,"Eaton Square, Belgravia","Eaton Square, BelgraviaFlat33",,flat,
12000000,"St. Anselms Place, London, W1K","St. Anselms Place, London, W1KTerraced54",,,
12000000,"Castelnau, Barnes, London, SW13","Castelnau, Barnes, London, SW13Detached77",,,
12000000,"Bracknell Gardens, Hampstead, London, NW3","Bracknell Gardens, Hampstead, London, NW3Detached76",,,
12000000,"Montpelier Square, London, SW7","Montpelier Square, London, SW7House55",,house,
12000000,"Sheldon Avenue, Highgate, N6","Sheldon Avenue, Highgate, N6House66",,house,
12000000,"Castelnau, Barnes, London, SW13","Castelnau, Barnes, London, SW13Detached77",,,
12000000,"Chester Terrace, London, NW1","Chester Terrace, London, NW1Terraced65",,,
12000000,"Ingram Avenue, London, NW11","Ingram Avenue, London, NW11Detached7",,,
12000000,"Chester Terrace, London, NW1","Chester Terrace, London, NW1Terraced65",,,
400000,"Pomeroy Street, New Cross. SE14","Pomeroy Street, New Cross. SE14Flat21",,flat,
12000000,"Connaught Place, London, W2","Connaught Place, London, W2Flat45",,flat,
12000000,"Ingram Avenue, Hampstead Garden Suburb","Ingram Avenue, Hampstead Garden SuburbDetached66",,,
12000000,"The Penthouse, 205 City Road, London EC1V 1AT","The Penthouse, 205 City Road, London EC1V 1ATPenthouse55",,flat,
11950000,"Carlyle Square, Chelsea, SW3","Carlyle Square, Chelsea, SW3Semi-Detached65",,,
11950000,"Ennismore Street, Knightsbridge, London, SW7","Ennismore Street, Knightsbridge, London, SW7End of Terrace44",,,
11950000,"Carlyle Square, London, SW3","Carlyle Square, London, SW3Semi-Detached64",,,
11950000,"One Casson Square, Southbank Place, Belvedere Road, London, SE1","One Casson Square, Southbank Place, Belvedere Road, London, SE1Apartment33",,flat,
11950000,"Ennismore Street, Knightsbridge, London, SW7","Ennismore Street, Knightsbridge, London, SW7House44",,house,
11950000,"Tite Street, Chelsea, London","Tite Street, Chelsea, LondonHouse64",,house,
11950000,"Upper Grosvenor Street, London, W1K","Upper Grosvenor Street, London, W1KApartment34",,flat,
11950000,"Park Square West, Regent's Park, London, NW1, United Kingdom","Park Square West, Regent's Park, London, NW1, United KingdomHouse65",,house,
11950000,"Eaton Square, Belgravia, London, SW1W, United Kingdom","Eaton Square, Belgravia, London, SW1W, United KingdomApartment43",,flat,
11950000,"Upper Grosvenor Street, London, W1K","Upper Grosvenor Street, London, W1KApartment33",,flat,
11795000,"Montrose Place, Belgravia, London","Montrose Place, Belgravia, LondonFlat33",,flat,
11750000,Kensington,KensingtonApartment66,,flat,Kensington
11590000,"Penthouse, Southbank Tower, 55 Upper Ground, SE1","Penthouse, Southbank Tower, 55 Upper Ground, SE1Apartment54",,flat,
11500000,"Stormont Road, Kenwood","Stormont Road, KenwoodDetached66",,,
11500000,"Walton Place, Knightsbridge, London, SW3","Walton Place, Knightsbridge, London, SW3End of Terrace43",,,
11500000,"Chester Square, Belgravia, London, SW1W","Chester Square, Belgravia, London, SW1WTerraced43",,,
11500000,"Chester Square, Belgravia, London, SW1W, United Kingdom","Chester Square, Belgravia, London, SW1W, United KingdomHouse44",,house,
11500000,"Queen's Gate Place Mews, South Kensington, Kensington and Chelsea, London","Queen's Gate Place Mews, South Kensington, Kensington and Chelsea, LondonEnd of Terrace65",,,Kensington
11500000,"The Manor, Davies Street, Mayfair, London, W1K, United Kingdom","The Manor, Davies Street, Mayfair, London, W1K, United KingdomFlat54",,flat,
11500000,"Buckingham Gate, St James, London, SW1E","Buckingham Gate, St James, London, SW1EApartment34",,flat,
11500000,"Egerton Crescent, Knightsbridge, London, SW3","Egerton Crescent, Knightsbridge, London, SW3Terraced33",,,
800000,"Powerscroft Road, Lower Clapton, London, E5","Powerscroft Road, Lower Clapton, London, E5Maisonette21",,flat,
11495000,"Chelsea Park Gardens, London, SW3","Chelsea Park Gardens, London, SW3Terraced54",,,
11490000,"Hamilton Terrace, St John's Wood, London, NW8","Hamilton Terrace, St John's Wood, London, NW8Semi-Detached64",,,
11490000,"Hamilton Terrace, St John's Wood, London, NW8","Hamilton Terrace, St John's Wood, London, NW8Semi-Detached64",,,
11250000,"One Casson Square, Southbank Place, Belvedere Road, London, SE1 7NA","One Casson Square, Southbank Place, Belvedere Road, London, SE1 7NAPenthouse34",,flat,
11000000,"Ingram Avenue, London, NW11","Ingram Avenue, London, NW11Detached710",,,
11000000,"Montrose Place, Belgravia, London, SW1X","Montrose Place, Belgravia, London, SW1XFlat32",,flat,
11000000,"Ingram Avenue, NW11","Ingram Avenue, NW11Detached710",,,
11000000,"Ennismore Gardens, Knightsbridge, London, SW7","Ennismore Gardens, Knightsbridge, London, SW7Maisonette43",,flat,
11000000,"Ennismore Gardens, Knightsbridge, London, SW7, United Kingdom","Ennismore Gardens, Knightsbridge, London, SW7, United KingdomApartment43",,flat,
11000000,"Moncorvo Close, London, SW7","Moncorvo Close, London, SW7Town House54",,house,
11000000,"Bolsover Street, Fitzrovia, London, W1W","Bolsover Street, Fitzrovia, London, W1WPenthouse44",,flat,
10990000,Grosvenor Crescent Mews,Grosvenor Crescent MewsTerraced44,,,
10950000,"Addison Avenue, Holland Park, London, W11, United Kingdom","Addison Avenue, Holland Park, London, W11, United KingdomHouse45",,house,
10950000,"Knightsbridge, Knightsbridge Gate, London, SW1X, United Kingdom","Knightsbridge, Knightsbridge Gate, London, SW1X, United KingdomFlat33",,flat,
10950000,"West Heath Road, London, NW3","West Heath Road, London, NW3Detached54",,,
10950000,"St. Katharines Precinct, Regent's Park, London, NW1","St. Katharines Precinct, Regent's Park, London, NW1Terraced43",,,
10950000,"Byron Drive, N2","Byron Drive, N2Detached55",,,
10950000,"Thurloe Square, Knightsbridge, SW7","Thurloe Square, Knightsbridge, SW7Terraced77",,,
10950000,"Church Row, Hampstead Village, London, NW3","Church Row, Hampstead Village, London, NW3Semi-Detached54",,,
10950000,"Knightsbridge Gate, Apartment 2, 55 Knightsbridge, London, SW1X","Knightsbridge Gate, Apartment 2, 55 Knightsbridge, London, SW1XApartment33",,flat,
10950000,"Thurloe Square, South Kensington, London, SW7","Thurloe Square, South Kensington, London, SW7Terraced77",,,Kensington
10950000,"Ennismore Gardens, Knightsbridge SW7","Ennismore Gardens, Knightsbridge SW7House65",,house,
10950000,"Carlton Hill, St John's Wood, London, NW8, United Kingdom","Carlton Hill, St John's Wood, London, NW8, United KingdomHouse43",,house,
10950000,"Buxmead, 67 The Bishops Avenue, London, N2","Buxmead, 67 The Bishops Avenue, London, N2Apartment77",,flat,
1098000,"Palace View, Lambeth, SE1","Palace View, Lambeth, SE1Apartment22",,flat,Lambeth
10950000,"Knightsbridge, London, SW7, United Kingdom","Knightsbridge, London, SW7, United KingdomApartment43",,flat,
10950000,"Church Row, Hampstead Village, London, NW3","Church Row, Hampstead Village, London, NW3Semi-Detached54",,,
10950000,"The Knightsbridge Apartments, SW7","The Knightsbridge Apartments, SW7Apartment43",,flat,
10950000,"55 Knightsbridge Gate, Knightsbridge, London, SW1X 7BF","55 Knightsbridge Gate, Knightsbridge, London, SW1X 7BFApartment33",,flat,
10950000,"St Katharine's Precinct, London, NW1","St Katharine's Precinct, London, NW1Terraced43",,,
10900000,"South Eaton Place, London, SW1W","South Eaton Place, London, SW1WTerraced64",,,
10762500,"Landmark Pinnacle, 10 Marsh Wall, Canary Wharf, E14","Landmark Pinnacle, 10 Marsh Wall, Canary Wharf, E14Apartment1518",,flat,
10750000,"Knightsbridge Gate, Apartment 3, 55 Knightsbridge, London, SW1X","Knightsbridge Gate, Apartment 3, 55 Knightsbridge, London, SW1XApartment34",,flat,
10750000,"Knightsbridge, Knightsbridge Gate, London, SW1X, United Kingdom","Knightsbridge, Knightsbridge Gate, London, SW1X, United KingdomFlat33",,flat,
10750000,"Hamilton Terrace, St John's Wood NW8","Hamilton Terrace, St John's Wood NW8Terraced54",,,
10750000,"Franklins Row, London, SW3","Franklins Row, London, SW3Flat43",,flat,
10750000,"55 Knightsbridge Gate, Knightsbridge, London, SW1X 7BF.","55 Knightsbridge Gate, Knightsbridge, London, SW1X 7BF.Apartment33",,flat,
10747000,"Bondway, London, SW8 1","Bondway, London, SW8 1Penthouse55",,flat,
10747000,"Bondway, London, SW8","Bondway, London, SW8Apartment55",,flat,
10747000,"Damac, London","Damac, LondonPenthouse55",,flat,
10747000,"Damac Tower Nine Elms London, 71 Bondway, London","Damac Tower Nine Elms London, 71 Bondway, LondonApartment55",,flat,
10747000,"Damac Tower, Nine Elms, London, SW8","Damac Tower, Nine Elms, London, SW8Flat55",,flat,
10747000,"Damac Tower, 
Damac Tower, SW8","Damac Tower, 
Damac Tower, SW8Flat55",,flat,
10747000,"Parry St, Nine Elms, SW8 1SF","Parry St, Nine Elms, SW8 1SFPenthouse55",,flat,
10747000,"Bondway, London","Bondway, LondonPenthouse55",,flat,
10747000,Nine Elms London,Nine Elms LondonApartment56,,flat,
10727000,"Parry Street, Nine Elms, London, SW8","Parry Street, Nine Elms, London, SW8Apartment56",,flat,
10700000,"Addison Crescent, Kensington, London, W14, United Kingdom","Addison Crescent, Kensington, London, W14, United KingdomHouse76",,house,Kensington
10700000,"Byron Drive, London, N2","Byron Drive, London, N2Detached89",,,
1600000,"Bilton Towers, Great Cumberland Place","Bilton Towers, Great Cumberland PlaceApartment22",,flat,
10700000,"Byron Drive, London, N2","Byron Drive, London, N2Detached89",,,
10600000,"Walton Place, Knightsbridge, London, SW3","Walton Place, Knightsbridge, London, SW3End of Terrace55",,,
10600000,"Walton Place, London, SW3","Walton Place, London, SW3Terraced55",,,
10500000,"Thurloe Square, London, SW7","Thurloe Square, London, SW7Terraced54",,,
10500000,"Netherhall Gardens, London","Netherhall Gardens, LondonDetached66",,,
10500000,"Eaton Place, Belgravia, London, SW1X","Eaton Place, Belgravia, London, SW1XDuplex32",,,
10500000,"Thurloe Square, South Kensington, London, SW7","Thurloe Square, South Kensington, London, SW7Terraced54",,,Kensington
10500000,"Earls Terrace, London, W8","Earls Terrace, London, W8Terraced55",,,
10500000,"Hans Place, Knightsbridge SW1X","Hans Place, Knightsbridge SW1XDetached74",,,
10500000,"The Bishops Avenue, N2","The Bishops Avenue, N2Land",,,
10500000,"Down Street, Mayfair, London, W1J","Down Street, Mayfair, London, W1JApartment44",,flat,
10500000,"Netherhall Gardens, Hampstead, London, NW3","Netherhall Gardens, Hampstead, London, NW3Detached66",,,
10500000,"Chalcot Square, Primrose Hill, London, NW1","Chalcot Square, Primrose Hill, London, NW1End of Terrace65",,,
10500000,"Park Modern, Bayswater Road, Hyde Park, London W2 3JH.","Park Modern, Bayswater Road, Hyde Park, London W2 3JH.Apartment33",,flat,
10500000,"Park Modern, Apartment 42, 123 Bayswater Road, London, W2","Park Modern, Apartment 42, 123 Bayswater Road, London, W2Apartment33",,flat,
10495000,"Lancer Square, Kensington, London, W8, United Kingdom","Lancer Square, Kensington, London, W8, United KingdomFlat33",,flat,Kensington
10250000,"Chapel Street, Belgravia, London","Chapel Street, Belgravia, LondonTerraced55",,,
10250000,"South Audley Street, Mayfair, W1K","South Audley Street, Mayfair, W1KHouse55",,house,
10250000,"Chapel Street, London, SW1X","Chapel Street, London, SW1XTerraced56",,,
10250000,"Springfield Road, St Johns Wood, London, NW8","Springfield Road, St Johns Wood, London, NW8Detached6",,,
10250000,"Chapel Street, Belgravia, London, SW1X, United Kingdom","Chapel Street, Belgravia, London, SW1X, United KingdomTown House56",,house,
10250000,"Chapel Street, 
Belgravia, SW1X","Chapel Street, 
Belgravia, SW1XTerraced45",,,
10134000,"Wandsworth Road, London, SW8","Wandsworth Road, London, SW8Apartment53",,flat,Wandsworth
10130000,"67 Bondway, London, Surrey, SW8","67 Bondway, London, Surrey, SW8Apartment55",,flat,
650000,"Russell Gardens Mews, Holland Park, London, W14","Russell Gardens Mews, Holland Park, London, W14Mews",,,
10130000,"North Tower, 67 Bondway, London, SW8","North Tower, 67 Bondway, London, SW8Apartment54",,flat,
10130000,"Bondway, London, SW8","Bondway, London, SW8Penthouse55",,flat,
10130000,"Parry Street, Nine Elms, London, SW8","Parry Street, Nine Elms, London, SW8Apartment56",,flat,
10130000,"London, SW8","London, SW8Flat55",,flat,
10130000,"Damac Tower Penthouse, London","Damac Tower Penthouse, LondonApartment56",,flat,
10130000,"Bondway, London, SW8","Bondway, London, SW8Penthouse55",,flat,
10130000,"Penthouse, Damac Tower, Nine Elms SW8","Penthouse, Damac Tower, Nine Elms SW8Apartment45",,flat,
10130000,"Bondway, London, SW8","Bondway, London, SW8Penthouse54",,flat,
10075000,St. Helens Gardens London W10,St. Helens Gardens London W10Terraced3020,,,
10000000,"Bondway, Vauxhall","Bondway, VauxhallPenthouse53",,flat,
10000000,"Redington Road, Hampstead, NW3","Redington Road, Hampstead, NW3House55",,house,
10000000,"St. Peters Road, Twickenham, Richmond TW1","St. Peters Road, Twickenham, Richmond TW1Detached64",,,Richmond
10000000,"Peninsula Heights, Albert Embankment, London","Peninsula Heights, Albert Embankment, LondonApartment44",,flat,
10000000,"Lancelot Place, London, SW7","Lancelot Place, London, SW7Apartment43",,flat,
10000000,"Frank Dixon Close, London, SE21","Frank Dixon Close, London, SE21Detached66",,,
10000000,"Lancelot Place, Knightsbridge","Lancelot Place, KnightsbridgeApartment43",,flat,
10000000,"Argyll Road, London, W8","Argyll Road, London, W8Terraced65",,,
10000000,"Damac Tower Nine Elms London, 71 Bondway, London","Damac Tower Nine Elms London, 71 Bondway, LondonApartment54",,flat,
10000000,"Residence 4.05, The OWO Residences, Whitehall, London, SW1A 2EU","Residence 4.05, The OWO Residences, Whitehall, London, SW1A 2EUApartment22",,flat,
10000000,The Sixth Floor,The Sixth FloorApartment46,,flat,
10000000,"Damac Tower, Nine Elms, SW8","Damac Tower, Nine Elms, SW8Penthouse55",,flat,
10000000,"Redington Road, London NW3 7RT","Redington Road, London NW3 7RTDetached67",,,
10000000,"Lensbury Avenue, Imperial Wharf, SW6","Lensbury Avenue, Imperial Wharf, SW6Penthouse77",,flat,
10000000,"Bondway, Vauxhall","Bondway, VauxhallFlat56",,flat,
2850000,"Grand Avenue, London, N10","Grand Avenue, London, N10End of Terrace54",,,
10000000,"Redington Road, Hampstead, London, NW3","Redington Road, Hampstead, London, NW3Semi-Detached67",,,
10000000,"Redington Road, London, NW3","Redington Road, London, NW3Semi-Detached67",,,
10000000,"Princes Gate, London, SW7","Princes Gate, London, SW7Flat44",,flat,
10000000,"Randolph Road, Little Venice, London, W9","Randolph Road, Little Venice, London, W9House53",,house,
10000000,Princes Gate,Princes GateApartment44,,flat,
10000000,"DAMAC Tower, Bondway","DAMAC Tower, BondwayPenthouse54",,flat,
9995000,"Lindfield Gardens, Hampstead, NW3","Lindfield Gardens, Hampstead, NW3Detached66",,,
9995000,"The Grove, London, N6","The Grove, London, N6Semi-Detached64",,,
9995000,"Lowndes Square, London, SW1X","Lowndes Square, London, SW1XDuplex34",,,
9950000,"Park Road, Isleworth, TW7","Park Road, Isleworth, TW7Detached87",,,
9950000,"Beverly House, Park Road, St Johns Wood, NW8","Beverly House, Park Road, St Johns Wood, NW8Apartment55",,flat,
9950000,"Adam's Row, Mayfair, London, W1K, United Kingdom","Adam's Row, Mayfair, London, W1K, United KingdomHouse44",,house,
9950000,"Chester Terrace, Regent's Park, NW1","Chester Terrace, Regent's Park, NW1Terraced55",,,
9950000,"St. James's Place, London, SW1A","St. James's Place, London, SW1AApartment33",,flat,
9950000,"Ferry House, Park Road, Old Isleworth, TW7","Ferry House, Park Road, Old Isleworth, TW7Equestrian Facility87",,house,
9950000,"Beverly House, 133 Park Road, St. John's Wood, London, NW8","Beverly House, 133 Park Road, St. John's Wood, London, NW8Penthouse55",,flat,
9950000,"South Street, Mayfair, London, W1K","South Street, Mayfair, London, W1KApartment33",,flat,
9950000,"Beverly House, Park Road, London, NW8","Beverly House, Park Road, London, NW8Penthouse55",,flat,
9950000,"Upper Grosvenor Street, Mayfair","Upper Grosvenor Street, MayfairFlat34",,flat,
9950000,"Adams Row, Mayfair, London, W1K","Adams Row, Mayfair, London, W1KTerraced55",,,
9950000,"Constable Close, NW11","Constable Close, NW11Cottage65",,,
9950000,"Upper Grosvenor Street, Mayfair, London, W1K 2NA, United Kingdom","Upper Grosvenor Street, Mayfair, London, W1K 2NA, United KingdomApartment33",,flat,
9950000,"Grosvenor Square, Mayfair, London, W1K","Grosvenor Square, Mayfair, London, W1KFlat33",,flat,
9950000,"Eaton Place, Belgravia, London, SW1X, United Kingdom","Eaton Place, Belgravia, London, SW1X, United KingdomPenthouse43",,flat,
1100000,"Powys Lane, London","Powys Lane, LondonDetached41",,,
9950000,"Chelsea Park Gardens, Chelsea SW3","Chelsea Park Gardens, Chelsea SW3Terraced53",,,
9950000,"Park Road, 
Isleworth, TW7","Park Road, 
Isleworth, TW7Detached87",,,
9950000,"St. James's Place, London, SW1A","St. James's Place, London, SW1AFlat33",,flat,
9950000,"Wycombe Square, Kensington W8","Wycombe Square, Kensington W8House65",,house,Kensington
9950000,"Hereford House, Mayfair, London, W1K, United Kingdom","Hereford House, Mayfair, London, W1K, United KingdomFlat45",,flat,
9950000,"Burnsall Street, Chelsea, London, SW3, United Kingdom","Burnsall Street, Chelsea, London, SW3, United KingdomHouse43",,house,
9950000,"Constable Close, Hampstead Garden Suburb, London, NW11","Constable Close, Hampstead Garden Suburb, London, NW11Detached7",,,
9950000,"St James's Place, St James's, London, SW1A","St James's Place, St James's, London, SW1AApartment33",,flat,
9950000,"Ovington Square, Knightsbridge, London, SW3","Ovington Square, Knightsbridge, London, SW3Town House55",,house,
9950000,"Cadogan Square, London, SW1X","Cadogan Square, London, SW1XDuplex45",,,
9950000,"Park Modern, Apartment 32, 123 Bayswater Road, London, W2","Park Modern, Apartment 32, 123 Bayswater Road, London, W2Apartment33",,flat,
9950000,"Chester Terrace, Regent's Park, London, NW1, United Kingdom","Chester Terrace, Regent's Park, London, NW1, United KingdomHouse54",,house,
9900000,"Worship Street, London, EC2A","Worship Street, London, EC2APenthouse33",,flat,
9900000,"Principle Tower, EC2","Principle Tower, EC2Penthouse34",,flat,
9900000,"Principal Tower, 
2 Principal Place, EC2A","Principal Tower, 
2 Principal Place, EC2AFlat34",,flat,
9900000,"Worship Street, Shoreditch, London, EC2A","Worship Street, Shoreditch, London, EC2AApartment33",,flat,
9900000,"Worship Street, London, EC2A 2","Worship Street, London, EC2A 2Penthouse44",,flat,
9900000,"Worship Street, London, EC2A","Worship Street, London, EC2AFlat32",,flat,
9900000,"Principal Place, Shoreditch, EC2A","Principal Place, Shoreditch, EC2APenthouse44",,flat,
9900000,"Brunswick Gardens, Kensington, W8","Brunswick Gardens, Kensington, W8Terraced53",,,Kensington
9900000,"Principal Place, EC2A","Principal Place, EC2AFlat22",,flat,
9900000,"Worship Street, London, EC2A 2","Worship Street, London, EC2A 2Penthouse33",,flat,
9850000,"St. Katharines Precinct, Regent's Park, London, NW1","St. Katharines Precinct, Regent's Park, London, NW1Semi-Detached54",,,
9850000,"South Audley Street, Mayfair, W1K","South Audley Street, Mayfair, W1KHouse55",,house,
3000000,"The Lansbury, SW3","The Lansbury, SW3Apartment22",,flat,
9850000,"St. Katharines Precinct, Regent's Park, London, NW1","St. Katharines Precinct, Regent's Park, London, NW1Semi-Detached54",,,
9750000,"1 Ebury Square, Belgravia, London SW1W","1 Ebury Square, Belgravia, London SW1WFlat44",,flat,
9750000,"Highwood Hill, Mill HIll, London, NW7","Highwood Hill, Mill HIll, London, NW7Detached75",,,
9750000,"Sloane Gardens, London, SW1W","Sloane Gardens, London, SW1WBlock of Apartments86",,flat,
9740000,"8 Eaton Lane, 23-47 Grosvenor Gardens, London, SW1W","8 Eaton Lane, 23-47 Grosvenor Gardens, London, SW1WApartment44",,flat,
9740000,"8 Eaton Lane, 23-47 Grosvenor Gardens, Belgravia, London, SW1W 0DH","8 Eaton Lane, 23-47 Grosvenor Gardens, Belgravia, London, SW1W 0DHApartment44",,flat,
9601000,"Parry Street, Nine Elms","Parry Street, Nine ElmsPenthouse54",,flat,
9601000,"Bondway, London, SW8","Bondway, London, SW8Apartment54",,flat,
9601000,"Nine Elms, 71 Bondway, Parry Street, SW8","Nine Elms, 71 Bondway, Parry Street, SW8Apartment55",,flat,
9601000,"Bondway, London, SW8 1","Bondway, London, SW8 1Penthouse55",,flat,
9601000,"Bondway, SW8  PENTHOUSE","Bondway, SW8  PENTHOUSEPenthouse54",,flat,
9601000,"Damac Tower, Nine Elms","Damac Tower, Nine ElmsApartment55",,flat,
9601000,"Damac Tower, Bondway, Nine Elms, SW8","Damac Tower, Bondway, Nine Elms, SW8Duplex54",,,
9601000,Nine Elms London,Nine Elms LondonApartment56,,flat,
9601000,"DAMAC Tower, Nine Elms, London, SW8","DAMAC Tower, Nine Elms, London, SW8Penthouse53",,flat,
9600000,"Damac Tower, Bondway, London, SW8","Damac Tower, Bondway, London, SW8Penthouse54",,flat,
9600000,"Parry Street, Nine Elms, SW8","Parry Street, Nine Elms, SW8Apartment54",,flat,
9600000,"Damac Tower Nine Elms, London, SW8","Damac Tower Nine Elms, London, SW8Penthouse54",,flat,
9500000,"Southside Common, Wimbledon Village, SW19","Southside Common, Wimbledon Village, SW19Detached75",,,
9500000,"Farm Street, Mayfair","Farm Street, MayfairTerraced84",,,
9500000,"Farm Street, Mayfair, London, W1J","Farm Street, Mayfair, London, W1JTerraced85",,,
9500000,"Chalcot Square, Primrose Hill, London, NW1","Chalcot Square, Primrose Hill, London, NW1Terraced64",,,
9500000,"Sunderland Terrace, Notting Hill, London, W2","Sunderland Terrace, Notting Hill, London, W2House56",,house,
9500000,"Eaton Square, London, SW1W","Eaton Square, London, SW1WPenthouse33",,flat,
700000,"Lupus Street, Pimlico, London, SW1V","Lupus Street, Pimlico, London, SW1VApartment21",,flat,
9500000,"Chalcot Square, Primrose Hill, NW1","Chalcot Square, Primrose Hill, NW1House53",,house,
9500000,"Eaton Place & Eccleston Mews, Belgravia, London, SW1X","Eaton Place & Eccleston Mews, Belgravia, London, SW1XApartment45",,flat,
9500000,"Southside Common, Wimbledon, London, SW19","Southside Common, Wimbledon, London, SW19Detached75",,,
9500000,"Hereford House, Mayfair, London, W1K, United Kingdom","Hereford House, Mayfair, London, W1K, United KingdomFlat55",,flat,
9500000,"Principal Tower, Shoreditch, London","Principal Tower, Shoreditch, LondonPenthouse34",,flat,
9500000,"Great College Street, London, SW1P","Great College Street, London, SW1PTerraced107",,,
9500000,"One Kensington Gardens, Kensington Road, London","One Kensington Gardens, Kensington Road, LondonFlat33",,flat,Kensington
9500000,"Eaton Square, London, SW1W","Eaton Square, London, SW1WFlat34",,flat,
9500000,"Argyll Road, LONDON, W8","Argyll Road, LONDON, W8Terraced65",,,
9500000,"Eaton Place & Eccleston Mews, Belgravia SW1X","Eaton Place & Eccleston Mews, Belgravia SW1XApartment45",,flat,
9500000,"Argyll Road, Kensington, London, W8, United Kingdom","Argyll Road, Kensington, London, W8, United KingdomHouse65",,house,Kensington
9450000,"Gerald Road, London, SW1W.","Gerald Road, London, SW1W.Terraced53",,,
9400000,"Park Modern, Apartment 22, 123 Bayswater Road, London, W2","Park Modern, Apartment 22, 123 Bayswater Road, London, W2Apartment33",,flat,
9400000,"Park Modern, Bayswater Road, Hyde Park, London W2 3JH.","Park Modern, Bayswater Road, Hyde Park, London W2 3JH.Apartment33",,flat,
9350000,"Marlborough Place, St John's Wood, London, NW8","Marlborough Place, St John's Wood, London, NW8Semi-Detached65",,,
9350000,"Marlborough Place, St John's Wood, London, NW8, United Kingdom","Marlborough Place, St John's Wood, London, NW8, United KingdomHouse65",,house,
9350000,"Palace Gardens Terrace, Kensington, London, W8","Palace Gardens Terrace, Kensington, London, W8Terraced44",,,Kensington
9300000,"College Road, Dulwich Village, London, SE21","College Road, Dulwich Village, London, SE21Semi-Detached77",,,
9250000,"Residence 2.7, 1 Grosvenor Square, London, W1K","Residence 2.7, 1 Grosvenor Square, London, W1KApartment22",,flat,
9250000,"Warwick Place, Little Venice, London, W9","Warwick Place, Little Venice, London, W9House23",,house,
